year,month,consumption_TWh,co2_emission_mt,country_enc,energy_source_enc,country_enc,energy_source_enc
1997,4,2181.95,353.87,0,2,0,2
2010,12,3285.69,758.45,2,4,2,4
1995,10,705.08,68.79,7,1,7,1
2010,4,2407.32,1585.42,0,5,0,5
2013,2,3617.48,22.4,3,1,3,1
2022,12,2966.38,1529.36,4,1,4,1
2007,8,3760.65,1033.73,3,0,3,0
2017,4,4429.55,957.59,3,4,3,4
2021,3,2200.63,865.25,2,0,2,0
2001,3,3610.77,1645.9,2,2,2,2
2016,1,2034.82,921.34,3,1,3,1
1999,8,4345.85,1340.72,0,3,0,3
2021,11,2179.36,908.08,2,4,2,4
2015,5,3391.73,1886.75,6,5,6,5
2014,5,41.73,1857.64,3,5,3,5
2000,4,1994.68,644.29,2,2,2,2
2012,12,2755.46,401.77,1,5,1,5
2023,5,3207.51,518.86,2,3,2,3
2012,12,888.87,455.1,4,3,4,3
2018,5,3178.49,331.63,7,4,7,4
2020,9,3741.1,1399.1,5,1,5,1
1996,11,1404.06,316.45,0,4,0,4
2022,6,1769.83,1215.9,2,3,2,3
2010,9,4551.24,1505.63,2,3,2,3
1991,8,1115.92,1069.21,6,4,6,4
2007,3,1839.68,362.68,4,1,4,1
2022,2,3607.97,1408.41,4,3,4,3
2023,6,978.06,578.11,3,6,3,6
2009,2,2529.73,1056.25,2,4,2,4
2024,3,3731.19,1288.84,7,6,7,6
2007,3,328.44,626.88,4,3,4,3
2013,1,1217.31,522.64,1,5,1,5
1997,5,2860.72,1512.5,2,0,2,0
2019,8,1293.71,323.33,7,0,7,0
1999,9,4078.89,382.44,1,6,1,6
2012,7,3357.65,347.72,6,6,6,6
2000,5,2629.49,461.45,2,6,2,6
1991,8,730.45,5.53,4,1,4,1
2015,9,3381.59,1533.9,6,5,6,5
2022,12,837.3,1067.19,0,4,0,4
2002,9,4689.29,225.68,2,3,2,3
2014,9,375.03,93.71,1,4,1,4
1993,11,2019.58,1043.39,6,6,6,6
2008,2,1422.31,1949.91,2,3,2,3
2007,3,3343.7,1631.43,1,2,1,2
2019,2,3353.45,1295.45,2,5,2,5
2008,11,3763.44,462.38,2,0,2,0
2012,11,3901.32,1575.13,3,4,3,4
2005,5,1143.58,1568.0,3,5,3,5
1990,12,3202.36,1846.92,6,1,6,1
2001,3,1124.67,1907.79,5,1,5,1
2013,9,2850.52,1688.53,5,3,5,3
2023,2,2389.7,1919.83,1,0,1,0
1997,5,3950.32,83.49,4,2,4,2
2007,12,1614.28,509.09,2,6,2,6
1994,5,187.49,698.84,7,6,7,6
2015,5,1850.24,540.38,6,3,6,3
2019,1,4214.19,1765.98,4,0,4,0
2002,10,2242.88,1535.9,2,1,2,1
2008,7,4092.08,1104.63,1,5,1,5
2018,2,1261.87,1606.35,2,4,2,4
1992,12,1230.01,160.66,1,1,1,1
2015,2,1329.87,1585.72,6,6,6,6
2001,9,3695.74,102.43,2,2,2,2
1991,12,2729.43,806.43,4,6,4,6
2000,1,3549.51,259.45,5,6,5,6
2017,9,1891.19,1949.9,6,3,6,3
2007,6,2241.09,145.62,3,5,3,5
2002,5,2375.66,1281.99,2,1,2,1
2011,5,2482.18,394.85,1,6,1,6
2001,5,1456.67,1032.14,2,4,2,4
1991,6,3409.75,1012.35,3,1,3,1
1996,7,2700.43,734.78,0,2,0,2
2015,11,3152.4,1874.65,6,6,6,6
2015,9,510.65,85.61,1,0,1,0
2013,2,623.85,1457.06,0,5,0,5
2001,4,1995.19,1881.77,5,4,5,4
2005,11,3083.98,939.64,5,3,5,3
2012,5,1442.89,1371.56,6,3,6,3
1998,6,595.03,1312.2,0,5,0,5
2021,7,3637.36,1888.42,5,6,5,6
2004,3,3954.12,758.78,7,5,7,5
2002,3,3228.11,1479.11,4,1,4,1
1994,9,1671.95,497.25,2,0,2,0
2000,9,2938.83,1754.66,0,1,0,1
1999,2,1557.09,1708.29,1,3,1,3
2002,4,4059.39,812.79,2,6,2,6
2004,4,4843.85,636.71,2,6,2,6
1996,5,688.01,1170.71,2,4,2,4
2017,2,3796.57,1166.04,0,6,0,6
2021,12,17.36,1197.79,5,1,5,1
2024,11,2184.35,93.0,1,5,1,5
2004,11,3741.82,76.86,3,2,3,2
2010,4,3601.71,1988.65,7,2,7,2
1995,11,4673.0,1876.71,0,6,0,6
1990,3,4523.97,1241.91,3,0,3,0
1993,11,2470.68,1396.11,4,0,4,0
2000,6,4136.88,48.78,6,6,6,6
2015,4,4975.66,1381.47,7,0,7,0
2012,1,2910.98,1285.9,3,2,3,2
2018,3,3283.24,1414.35,2,4,2,4
2010,8,407.92,547.46,0,4,0,4
2016,12,4921.4,1166.13,6,6,6,6
2002,3,4577.89,386.72,5,3,5,3
2012,7,2352.77,713.05,2,4,2,4
2005,2,2363.33,629.57,4,6,4,6
2019,5,2905.04,648.59,4,2,4,2
1993,7,3641.05,355.73,0,0,0,0
2005,1,3618.58,1854.81,5,5,5,5
2020,11,3231.01,541.5,7,5,7,5
2014,12,1441.5,1712.75,5,3,5,3
2001,1,2720.22,1574.58,7,2,7,2
2015,11,2770.98,1422.94,5,0,5,0
2022,8,2430.55,145.21,1,2,1,2
2017,2,347.88,245.98,4,2,4,2
1998,12,4426.11,444.58,5,2,5,2
2001,11,1617.22,1022.96,1,3,1,3
1994,4,3153.73,933.8,6,6,6,6
2017,3,3147.9,139.59,7,2,7,2
2024,5,629.45,710.87,1,5,1,5
1994,2,4481.78,57.73,4,2,4,2
2023,6,1812.23,99.18,2,5,2,5
2023,8,347.39,1335.8,6,6,6,6
2002,5,4552.56,929.77,0,5,0,5
2003,7,1084.49,239.73,7,6,7,6
2000,5,3679.59,267.16,4,1,4,1
1993,6,4781.53,816.74,3,1,3,1
2022,9,1146.24,223.8,6,0,6,0
1996,12,3520.17,206.53,6,2,6,2
1997,11,1408.05,1636.97,3,2,3,2
1999,10,4094.85,1303.08,7,2,7,2
2004,11,4252.91,1866.7,2,6,2,6
2004,1,2619.09,1787.83,0,2,0,2
1994,10,2677.59,349.14,4,6,4,6
2018,9,2754.9,890.49,5,5,5,5
2008,3,4134.97,95.7,6,2,6,2
1999,10,614.3,434.77,1,5,1,5
2001,3,1945.15,869.6,5,1,5,1
1993,4,1157.13,1065.97,5,0,5,0
2020,8,3887.36,1968.79,7,0,7,0
2007,1,3038.16,125.08,0,5,0,5
2005,4,2437.2,207.61,2,1,2,1
2014,7,2234.43,633.94,7,6,7,6
2012,12,4182.45,1457.78,4,1,4,1
2001,3,958.39,31.19,3,5,3,5
2023,7,2021.45,338.15,6,5,6,5
1992,11,2958.02,113.22,2,1,2,1
1998,5,898.71,1451.35,5,2,5,2
2007,10,2179.63,748.75,6,2,6,2
2024,11,3379.86,590.29,2,6,2,6
2023,9,2203.26,671.59,1,4,1,4
2003,8,527.22,1905.4,0,6,0,6
1993,11,2980.93,462.8,1,5,1,5
2018,3,795.47,3.46,1,1,1,1
2004,12,1551.67,483.33,1,3,1,3
2017,4,276.07,485.53,4,6,4,6
2005,7,2497.09,1805.25,4,6,4,6
2001,2,2132.57,1485.45,0,3,0,3
1994,10,3852.95,717.65,5,2,5,2
2023,11,4031.2,1902.86,1,0,1,0
1990,6,4443.67,355.88,1,5,1,5
2021,9,648.35,960.55,1,3,1,3
2015,12,1478.92,1069.96,5,4,5,4
2006,9,3157.5,220.14,6,4,6,4
2016,6,4727.89,227.73,0,0,0,0
2013,12,2353.93,1029.91,2,2,2,2
2024,6,2527.9,62.97,4,0,4,0
2015,6,2064.96,1459.04,7,3,7,3
2012,11,1470.98,987.66,4,4,4,4
2011,10,1394.2,1911.45,5,2,5,2
1993,6,1495.2,828.63,4,4,4,4
1998,3,2006.72,1066.78,5,0,5,0
1993,4,2351.2,996.28,0,6,0,6
1996,6,328.84,224.14,2,6,2,6
2012,10,3770.18,1690.93,6,1,6,1
1991,1,508.78,1338.86,2,6,2,6
2013,1,3002.57,1227.08,5,5,5,5
2020,7,3184.59,1349.32,6,4,6,4
2020,1,226.71,708.84,1,3,1,3
2023,5,1754.65,791.44,3,2,3,2
2013,10,3745.15,429.19,4,0,4,0
2015,11,1529.17,1007.83,3,4,3,4
2005,8,4468.43,1686.25,0,6,0,6
2002,6,4759.23,942.53,7,6,7,6
2004,3,4533.15,1243.31,1,4,1,4
2016,2,3003.12,1239.29,4,4,4,4
1993,2,782.66,1879.97,6,6,6,6
2005,4,2466.55,597.0,2,1,2,1
2019,9,4956.75,484.25,0,3,0,3
2019,9,350.89,132.07,6,5,6,5
1992,1,1849.86,1816.14,0,6,0,6
2011,5,1280.34,1269.25,2,5,2,5
2011,9,4669.79,1951.63,0,6,0,6
2001,4,2249.73,1722.88,3,4,3,4
2010,11,42.59,96.3,6,0,6,0
1993,7,2792.97,1577.44,0,2,0,2
2020,11,1701.38,68.27,3,3,3,3
2020,6,3641.13,679.02,1,1,1,1
2012,4,701.85,169.87,2,2,2,2
2009,10,3702.23,956.67,2,1,2,1
2004,11,1877.47,801.84,3,3,3,3
2012,12,4965.2,1297.13,4,6,4,6
2017,7,2406.02,1102.74,6,4,6,4
2005,7,1724.16,1813.27,6,3,6,3
2010,2,1696.86,542.61,4,6,4,6
2004,7,276.59,1457.31,7,2,7,2
2006,9,4968.33,628.65,1,0,1,0
2002,6,3560.05,832.52,3,5,3,5
2008,12,4161.09,130.04,2,4,2,4
2019,6,2708.83,1296.67,1,4,1,4
2007,11,4685.37,1510.29,2,3,2,3
2003,6,2417.6,1301.83,2,2,2,2
2009,12,1432.18,904.95,4,6,4,6
2008,2,3804.23,264.33,1,3,1,3
1996,12,3562.48,561.96,7,0,7,0
1993,6,4075.83,464.47,5,2,5,2
2023,6,4552.67,1887.33,5,5,5,5
1991,9,979.02,84.1,1,3,1,3
1994,2,1656.87,1289.91,3,6,3,6
1999,9,1906.33,1249.14,4,5,4,5
2021,5,1242.2,1169.73,0,0,0,0
2002,9,4520.47,315.03,7,0,7,0
1994,10,2398.34,1808.87,7,3,7,3
1999,10,4449.87,123.51,7,6,7,6
1999,2,2517.55,3.57,6,1,6,1
2016,5,2374.59,1372.27,1,6,1,6
2010,11,1679.97,1420.65,3,2,3,2
1997,2,2433.37,94.99,0,0,0,0
1990,5,1403.41,180.22,6,4,6,4
2017,7,2845.18,1992.54,3,6,3,6
2003,12,795.59,192.26,3,0,3,0
2010,7,4069.96,1759.53,0,3,0,3
2019,12,894.79,132.97,3,6,3,6
2010,11,2476.88,1690.36,3,3,3,3
1998,7,1212.44,1935.8,1,1,1,1
2006,5,4384.25,61.75,1,4,1,4
1994,7,1266.96,835.45,0,5,0,5
2020,6,4336.44,503.92,3,6,3,6
2008,7,290.87,571.85,3,5,3,5
2022,5,570.23,1770.55,7,2,7,2
2002,12,209.17,924.61,6,1,6,1
2003,2,792.09,1156.2,0,0,0,0
2022,9,2668.11,26.87,1,2,1,2
2018,2,2955.08,1696.87,7,2,7,2
1999,3,613.91,275.06,4,0,4,0
2020,9,931.2,1935.15,7,4,7,4
1995,2,3075.67,1259.73,6,1,6,1
1990,8,960.71,1370.67,4,6,4,6
1996,12,3798.11,580.04,3,6,3,6
2016,3,4583.96,536.91,7,4,7,4
2010,6,2655.81,1252.91,6,5,6,5
2017,9,4247.84,1029.52,0,0,0,0
2005,10,425.77,1353.6,7,2,7,2
2012,10,4528.35,41.11,6,1,6,1
2009,3,313.8,298.88,0,5,0,5
2014,9,62.71,1880.52,7,0,7,0
2017,7,4522.1,1107.39,0,4,0,4
1994,5,847.36,1933.54,6,5,6,5
2010,8,4006.27,1149.39,3,0,3,0
2007,6,2325.52,1579.12,2,0,2,0
1995,7,1933.97,1127.16,6,1,6,1
2018,3,4815.52,853.56,2,2,2,2
2008,10,3734.97,337.17,5,6,5,6
2022,11,4039.94,634.09,1,2,1,2
1990,6,1387.29,1632.63,2,3,2,3
1992,11,374.68,194.51,7,3,7,3
2010,3,1482.03,573.22,2,2,2,2
2024,7,4338.39,1577.97,2,6,2,6
1992,10,4141.7,1666.63,0,2,0,2
2014,6,4109.0,732.87,4,0,4,0
2009,10,2374.8,598.87,4,3,4,3
2023,12,1403.54,1415.52,0,3,0,3
2010,8,761.64,1469.83,0,1,0,1
2012,8,528.46,972.53,0,3,0,3
1995,6,2037.55,596.15,4,2,4,2
2002,2,3424.23,661.78,6,6,6,6
2012,10,4593.58,1032.16,5,0,5,0
1998,10,1845.9,547.81,4,3,4,3
2006,6,4340.22,1123.16,6,1,6,1
1991,1,4224.14,14.56,0,1,0,1
2008,6,3648.15,657.5,2,5,2,5
2008,6,3030.02,396.45,4,1,4,1
1996,6,262.23,1650.76,4,4,4,4
2009,12,2416.03,341.07,0,5,0,5
1998,9,4061.29,1735.92,0,0,0,0
2006,4,4418.39,6.89,5,5,5,5
2016,11,2171.38,811.5,3,6,3,6
1991,7,2860.98,396.63,3,1,3,1
2008,11,4327.54,998.62,3,2,3,2
2006,3,2344.29,796.41,0,2,0,2
1994,8,3012.23,452.44,7,5,7,5
2007,2,4243.88,1684.08,6,6,6,6
1996,2,3956.63,1250.36,2,2,2,2
2006,5,443.75,1232.03,6,3,6,3
1993,1,393.52,907.98,3,5,3,5
2014,1,2081.22,1043.94,0,2,0,2
1994,11,4263.93,376.24,5,5,5,5
2019,3,4612.94,1698.06,3,0,3,0
2001,6,4743.89,1485.63,0,2,0,2
1993,10,4943.92,1935.74,2,6,2,6
2013,12,2529.79,227.55,0,3,0,3
2018,6,4590.11,1288.86,2,2,2,2
1998,8,3636.72,944.18,0,4,0,4
1993,7,2226.6,1918.62,4,0,4,0
2013,1,4644.02,1586.2,4,5,4,5
2003,1,2036.8,913.06,4,1,4,1
1994,4,1469.26,1361.82,7,2,7,2
2007,1,3434.76,669.54,3,3,3,3
2008,1,625.88,1933.08,3,0,3,0
2001,10,4715.18,933.45,5,2,5,2
2007,1,3845.2,461.93,2,5,2,5
2006,11,2821.41,1520.83,0,4,0,4
2019,3,478.41,821.07,5,5,5,5
2013,10,1177.75,683.9,3,1,3,1
2000,2,2521.49,784.79,4,6,4,6
2024,11,2505.54,13.59,7,3,7,3
2012,10,2364.23,95.02,1,6,1,6
2006,8,1677.0,511.11,1,6,1,6
1990,7,3559.94,782.04,4,2,4,2
2004,10,4703.12,317.62,4,2,4,2
2021,8,2720.95,8.88,5,5,5,5
1998,4,4139.3,69.95,3,4,3,4
2004,9,3087.99,1526.83,6,6,6,6
2017,5,159.56,50.83,0,6,0,6
2013,7,704.56,1605.91,2,3,2,3
2024,4,4394.49,347.16,2,6,2,6
2011,1,2382.27,1771.41,0,0,0,0
2016,11,3877.38,1470.66,4,6,4,6
2008,12,4176.08,452.15,4,3,4,3
2001,8,2719.5,38.52,1,5,1,5
2009,9,15.17,1449.52,5,6,5,6
1990,9,3483.19,152.24,0,1,0,1
2010,10,4815.36,1819.33,4,4,4,4
1990,8,2688.72,222.64,2,6,2,6
1999,1,4180.0,1750.97,6,6,6,6
2021,3,1666.51,1081.55,2,5,2,5
2011,5,676.7,940.83,3,5,3,5
2007,7,1395.87,1483.22,6,1,6,1
2021,12,2188.34,1197.0,7,5,7,5
2016,8,4125.39,1149.04,2,2,2,2
2017,1,3128.96,1506.99,0,4,0,4
2007,5,961.33,1648.6,4,3,4,3
2018,3,1225.34,86.75,4,6,4,6
2007,7,3933.53,1004.33,6,4,6,4
1997,6,3324.49,1634.43,5,0,5,0
2020,12,933.43,1522.38,7,5,7,5
2023,1,3132.23,102.03,2,3,2,3
1996,11,4608.18,967.55,3,3,3,3
2007,2,2834.33,1379.23,6,1,6,1
1998,5,436.04,1462.99,5,0,5,0
1998,5,3676.49,138.74,0,0,0,0
1997,1,4676.74,1738.52,1,0,1,0
2024,11,2790.21,467.05,7,1,7,1
2007,12,2825.66,373.76,3,4,3,4
1994,12,4542.05,129.3,7,2,7,2
2003,4,1412.14,1099.46,2,4,2,4
2017,12,1732.27,700.88,1,5,1,5
2019,9,1745.82,1850.26,7,4,7,4
1993,9,1503.59,186.04,0,6,0,6
2009,5,687.36,1791.67,6,6,6,6
2014,7,3085.62,1047.8,6,6,6,6
2017,11,2322.9,1013.87,7,3,7,3
2001,2,1758.3,871.11,4,4,4,4
1991,1,3969.59,1926.6,2,3,2,3
2003,12,4461.8,1794.44,7,5,7,5
2011,2,1468.66,1943.4,0,1,0,1
2020,4,1086.86,1664.38,0,6,0,6
2012,6,1742.77,630.0,0,6,0,6
2009,3,3203.14,1220.4,2,5,2,5
1993,2,646.72,830.55,6,2,6,2
2004,7,1171.93,910.27,3,5,3,5
2013,8,475.89,1064.3,7,6,7,6
2014,9,4312.41,978.25,1,0,1,0
1990,11,3932.23,1170.55,1,4,1,4
1996,12,1699.63,224.52,3,4,3,4
2020,10,4203.14,1968.66,3,3,3,3
2001,8,208.52,1760.3,3,6,3,6
1994,2,2522.06,1297.43,2,0,2,0
2001,3,2396.22,306.37,3,5,3,5
2007,1,1224.56,687.43,7,5,7,5
1991,1,2386.49,1216.74,3,0,3,0
1999,6,1657.57,543.46,3,4,3,4
2004,3,2450.9,1273.45,0,6,0,6
2019,4,627.53,1632.46,4,1,4,1
2006,10,2231.0,891.44,0,2,0,2
1993,12,3578.17,588.02,1,5,1,5
1996,8,4564.46,1148.39,2,0,2,0
2020,5,3417.06,1401.53,7,1,7,1
2023,12,4303.91,433.56,2,4,2,4
1995,11,399.67,552.3,6,0,6,0
2023,6,3100.73,1247.65,5,0,5,0
2004,9,414.25,116.08,0,1,0,1
2003,11,1854.49,243.03,5,0,5,0
1995,11,4422.3,1819.55,4,1,4,1
2021,2,2761.23,1717.75,4,5,4,5
1992,3,2731.08,183.95,6,1,6,1
1992,5,1349.49,1793.52,2,5,2,5
2011,2,1567.79,1347.19,4,1,4,1
2011,8,4463.15,1756.34,7,4,7,4
1999,2,1462.4,1577.48,1,4,1,4
1992,4,999.43,298.75,2,2,2,2
2001,3,1372.56,1727.45,3,4,3,4
2018,4,1728.22,1955.27,4,1,4,1
2006,4,3550.47,1758.27,5,6,5,6
1996,6,4513.96,385.49,7,0,7,0
2002,10,1718.68,85.09,4,2,4,2
1991,12,289.98,1635.92,7,2,7,2
1993,12,2436.02,1525.98,4,0,4,0
1999,10,4862.86,1994.1,0,4,0,4
2013,10,133.66,1850.93,7,2,7,2
2006,9,2478.42,382.73,3,0,3,0
1995,3,4250.38,313.95,2,4,2,4
2008,1,4458.91,876.04,7,1,7,1
1994,8,3185.28,1301.51,6,6,6,6
2021,7,85.67,700.38,2,3,2,3
1999,2,1494.04,873.87,4,1,4,1
1998,5,1294.51,977.16,3,2,3,2
2016,12,3263.11,773.91,2,4,2,4
2002,12,4827.06,61.0,2,3,2,3
2008,10,3111.95,722.98,5,6,5,6
2010,4,865.65,396.78,4,4,4,4
2013,9,2376.57,193.76,7,2,7,2
1993,4,429.18,552.21,4,3,4,3
2013,5,962.96,765.27,0,1,0,1
2024,8,1906.2,40.64,2,2,2,2
1992,3,2670.73,1867.24,5,2,5,2
1993,6,565.34,139.82,1,0,1,0
2024,6,885.25,482.3,5,0,5,0
2020,7,2599.39,1387.79,7,3,7,3
2014,9,4171.89,1964.39,5,6,5,6
2002,11,3917.82,1759.14,0,5,0,5
1993,3,1928.49,213.71,5,6,5,6
2003,5,467.88,566.79,0,1,0,1
2002,5,3986.5,126.24,2,1,2,1
2016,5,2380.88,1242.33,7,4,7,4
1995,6,1438.16,1618.09,4,0,4,0
2006,1,2614.62,487.72,3,3,3,3
2024,9,2901.76,647.85,6,0,6,0
2006,12,1511.38,1469.53,3,2,3,2
1991,3,3101.64,642.94,6,6,6,6
2002,6,69.53,619.0,5,6,5,6
1991,4,1526.54,1299.21,2,1,2,1
2017,7,4750.64,114.5,1,5,1,5
2015,8,4067.23,1572.5,6,3,6,3
2011,4,63.75,216.13,3,6,3,6
1992,10,2889.0,159.7,6,6,6,6
2024,6,3996.45,1076.24,6,5,6,5
2001,12,1411.14,1556.47,1,6,1,6
2013,12,2850.67,909.12,6,1,6,1
1994,10,3849.27,211.42,4,2,4,2
2009,7,1215.46,955.91,2,2,2,2
2002,12,3878.41,1889.45,5,4,5,4
2001,10,3622.89,1190.01,1,4,1,4
2002,7,911.48,998.57,2,3,2,3
1999,9,1909.57,281.93,1,2,1,2
2022,8,3897.95,206.47,4,4,4,4
2005,3,3177.7,1539.63,2,2,2,2
2024,4,2558.35,1635.57,1,4,1,4
1992,9,1951.39,153.99,0,0,0,0
1994,11,1670.97,1815.8,1,1,1,1
2015,7,2305.83,1098.27,3,5,3,5
2000,7,2084.94,1046.39,5,6,5,6
1996,1,1110.12,1358.03,2,6,2,6
1999,2,4011.64,726.61,3,2,3,2
2023,1,4882.57,1565.22,5,3,5,3
1992,4,2480.65,1750.45,5,5,5,5
1997,4,4883.62,615.55,2,5,2,5
2020,5,1830.39,852.11,0,6,0,6
2000,5,1706.89,285.06,5,5,5,5
1996,12,4512.6,1574.22,7,3,7,3
1991,1,4815.81,601.51,7,3,7,3
1995,7,1363.8,999.58,1,1,1,1
2021,6,4636.56,103.51,2,2,2,2
2009,8,658.2,999.36,2,3,2,3
2023,4,3360.38,68.91,1,1,1,1
2005,1,4421.68,455.66,5,0,5,0
2014,12,2045.63,124.29,2,6,2,6
2001,3,762.88,79.64,4,0,4,0
1996,9,4485.16,327.55,2,1,2,1
2006,10,3867.82,779.18,5,5,5,5
2000,7,314.34,603.61,4,4,4,4
1995,2,2163.81,510.49,1,1,1,1
2012,3,3626.38,610.21,0,2,0,2
2016,2,2422.58,39.14,6,4,6,4
1995,4,4583.37,1740.06,3,2,3,2
1991,2,195.65,1970.88,6,6,6,6
2011,4,3574.88,91.68,5,3,5,3
2009,11,4678.85,1221.07,5,0,5,0
2014,7,1241.09,1808.26,3,4,3,4
2004,8,3732.97,1367.74,5,2,5,2
2018,10,1840.36,300.87,1,6,1,6
1997,6,1682.09,1534.7,2,2,2,2
2022,11,2614.37,1852.65,3,4,3,4
2011,9,3140.11,901.33,7,0,7,0
1994,6,3416.52,1398.75,0,2,0,2
2007,11,2406.03,1234.84,5,2,5,2
2019,11,4635.57,1536.41,1,3,1,3
2020,3,1107.69,465.61,0,0,0,0
1999,1,4227.45,888.07,1,1,1,1
2004,9,4193.37,393.79,1,4,1,4
2007,3,648.73,1097.01,5,0,5,0
2012,1,1844.55,355.92,4,0,4,0
2022,12,2790.15,1894.88,5,3,5,3
2005,11,3684.62,1291.1,1,4,1,4
2024,2,4488.3,1783.88,1,1,1,1
2023,12,4847.6,1030.97,5,5,5,5
2017,3,1422.07,1767.01,1,3,1,3
1991,8,3473.15,120.04,5,0,5,0
2019,8,3842.94,1690.9,5,1,5,1
2002,2,2066.94,1153.22,6,3,6,3
2005,6,1209.72,863.69,3,1,3,1
1994,2,3719.93,1804.68,7,5,7,5
2017,7,2030.09,625.72,1,5,1,5
2009,10,954.31,76.32,3,0,3,0
2013,11,99.74,469.98,7,3,7,3
2016,11,1896.14,389.98,3,2,3,2
2019,3,989.91,143.24,1,6,1,6
2016,8,3246.36,608.97,3,1,3,1
2015,3,3827.12,1764.91,3,6,3,6
1996,10,980.6,1816.14,3,5,3,5
1994,6,4825.17,1873.87,0,5,0,5
2012,1,965.27,1778.07,1,0,1,0
2017,8,1550.1,1532.92,4,6,4,6
2023,7,1984.33,1077.67,4,3,4,3
2004,1,3588.76,1111.85,3,1,3,1
2021,7,4207.3,861.57,5,0,5,0
2015,11,2848.55,1686.22,5,1,5,1
2020,5,417.29,1514.03,2,5,2,5
2008,2,4524.03,588.51,1,1,1,1
1998,1,1348.73,1801.28,0,5,0,5
2018,2,3260.02,1137.43,0,5,0,5
1993,6,4132.21,846.55,2,2,2,2
1992,2,4318.73,1263.43,5,4,5,4
2018,6,923.77,1014.72,3,3,3,3
2000,12,20.88,1871.53,4,5,4,5
2022,8,4722.55,384.27,6,6,6,6
2000,8,1737.12,154.6,2,5,2,5
2016,6,2932.13,126.54,5,4,5,4
2022,5,4017.84,515.79,6,2,6,2
2010,4,1519.54,1999.24,0,2,0,2
2020,6,4946.61,1514.51,5,3,5,3
1991,5,360.76,1061.69,3,1,3,1
2016,10,1889.72,313.54,4,1,4,1
2000,4,1158.91,297.55,5,0,5,0
2007,6,742.87,841.33,6,6,6,6
1990,9,1747.58,580.55,6,1,6,1
2024,9,1954.66,1181.55,3,5,3,5
2024,8,4244.55,790.71,3,6,3,6
2020,10,3435.68,1469.47,4,1,4,1
2017,1,3756.17,1258.94,0,0,0,0
1990,9,3246.65,996.36,5,4,5,4
2014,5,3396.27,1323.57,7,6,7,6
2009,11,1215.97,500.8,5,2,5,2
1992,3,3650.18,1936.23,2,6,2,6
1991,8,2935.65,1485.45,6,2,6,2
2007,8,3862.56,993.16,0,5,0,5
1999,9,1881.57,392.23,7,1,7,1
1994,2,1651.35,13.22,2,0,2,0
1998,10,787.58,39.65,0,5,0,5
1991,4,2829.43,507.43,6,1,6,1
2023,10,1628.94,1079.0,6,3,6,3
2020,2,3585.64,462.63,6,0,6,0
1999,6,4110.2,1009.96,3,6,3,6
2001,1,3945.54,632.34,2,4,2,4
2010,10,3072.91,718.86,7,4,7,4
1995,3,722.27,1680.9,1,1,1,1
1992,2,2250.89,353.23,0,0,0,0
1999,7,4150.9,1846.31,3,5,3,5
1994,8,3203.1,1529.89,6,5,6,5
2015,2,3182.63,1526.21,7,3,7,3
2010,9,3718.84,1808.86,7,2,7,2
2015,11,648.87,1689.36,4,0,4,0
2015,1,3358.62,125.19,3,3,3,3
1997,2,1353.55,1821.42,1,1,1,1
1994,3,2960.97,1251.3,2,4,2,4
2004,2,2999.82,889.05,4,2,4,2
2005,1,909.72,36.96,0,4,0,4
1990,8,3362.42,1755.2,7,3,7,3
2005,1,3549.11,1643.11,4,2,4,2
1992,5,2081.28,1135.72,6,3,6,3
2020,11,2888.12,259.62,3,4,3,4
2002,6,1842.16,1041.19,1,6,1,6
2005,7,4264.53,789.16,5,0,5,0
2010,3,3236.66,1128.34,1,4,1,4
1991,12,2718.75,302.33,7,1,7,1
2016,11,4716.89,980.29,4,1,4,1
2015,7,3820.73,1453.98,1,3,1,3
2014,8,1524.05,923.21,2,5,2,5
2000,10,749.08,1582.58,1,1,1,1
1997,3,170.66,634.77,6,6,6,6
1997,5,2795.98,163.68,6,5,6,5
2022,1,1186.01,1083.37,7,0,7,0
1996,9,4279.61,1872.0,5,0,5,0
2010,8,34.52,1209.3,4,2,4,2
1997,3,798.99,903.08,6,1,6,1
2010,4,1851.03,813.39,4,6,4,6
2009,1,3433.24,1536.93,2,6,2,6
1997,1,2729.94,1229.68,5,3,5,3
2020,6,1664.41,1491.08,2,4,2,4
2018,6,1194.09,204.9,7,0,7,0
1998,9,1152.08,1692.97,3,2,3,2
2004,12,4131.34,1894.98,0,5,0,5
2019,5,1534.32,772.75,7,3,7,3
2015,3,4529.36,1087.29,2,0,2,0
1999,6,134.47,110.28,0,5,0,5
2018,8,203.53,1928.44,3,5,3,5
2005,12,4984.67,1367.94,6,0,6,0
2009,7,3080.36,78.68,0,3,0,3
2011,11,4797.41,652.03,1,2,1,2
1996,10,911.33,832.34,7,0,7,0
2012,3,4393.43,824.93,4,6,4,6
2018,1,3313.59,365.44,0,6,0,6
2005,4,1036.82,1727.06,2,3,2,3
2017,6,3888.57,13.37,4,3,4,3
2020,4,1972.31,1.27,2,2,2,2
2003,5,2576.63,1568.13,5,0,5,0
2022,10,4569.68,115.13,3,1,3,1
1998,7,1855.66,1880.72,0,3,0,3
2016,5,2671.86,1950.53,0,5,0,5
2013,5,1427.24,316.86,4,3,4,3
2002,2,2290.86,1919.72,6,0,6,0
2015,1,1151.15,1601.29,0,2,0,2
2018,4,3303.43,1240.43,3,2,3,2
2017,11,2338.46,19.63,1,0,1,0
2017,10,3771.58,1623.86,7,5,7,5
