year,month,country,cpi,inflation_rate
1996,11,UK,160.48,5.29
1994,4,Canada,68.04,1.4
2008,2,India,165.54,8.65
2023,9,Vietnam,108.77,5.38
2024,10,India,154.04,0.23
2005,6,France,126.56,7.07
2016,11,Vietnam,61.52,4.53
2014,9,Canada,116.91,9.82
2015,1,India,181.21,-0.2
2003,1,USA,71.52,8.92
2003,11,France,206.28,10.91
2003,4,UK,222.82,3.74
2014,2,Vietnam,145.99,9.02
1993,1,India,277.26,-0.84
2004,6,India,71.21,11.62
2021,8,India,206.51,-1.11
2007,1,Canada,233.88,8.01
2003,11,India,246.41,10.4
1990,11,Japan,162.83,3.91
2009,10,Canada,116.97,0.08
1999,10,Japan,290.66,4.49
1999,6,UK,281.8,10.96
2013,1,UK,296.35,6.17
2023,8,France,231.07,1.66
2017,6,India,245.43,0.01
2016,1,India,282.52,-1.66
1990,9,India,160.79,5.62
2022,1,USA,90.65,10.33
1993,9,Vietnam,189.92,11.47
1996,3,Germany,169.26,-0.84
1998,8,Vietnam,245.03,0.36
2005,8,Japan,234.8,-1.53
1994,7,India,118.95,9.04
2023,12,Vietnam,75.6,2.9
2012,2,Vietnam,193.58,2.41
2014,3,France,219.25,3.82
2002,5,USA,176.87,2.4
2013,5,USA,216.84,7.86
2000,2,Canada,237.97,5.04
2006,1,USA,160.99,6.74
2002,5,France,175.63,3.29
2016,5,Japan,208.71,1.82
2009,12,Vietnam,204.07,-1.54
2022,3,Canada,171.33,1.54
2021,8,Germany,113.36,-0.17
1997,6,India,220.39,4.39
2018,2,India,147.02,4.92
2008,2,Germany,164.57,-1.55
1995,4,Japan,181.28,11.11
2010,6,USA,166.97,9.86
2011,12,France,215.46,6.72
1999,9,India,178.56,10.78
1999,8,USA,124.72,8.3
2018,8,Germany,289.4,-0.72
2005,2,India,296.68,0.69
1990,11,India,68.2,0.35
2006,4,India,218.71,-1.08
2019,6,France,271.68,-0.48
2015,6,Canada,287.84,10.34
2008,12,UK,253.1,8.01
2010,10,Germany,273.12,11.67
2006,6,France,139.11,6.51
2010,8,Germany,257.73,2.53
2008,8,USA,202.8,2.45
1996,7,Canada,156.4,7.64
2006,5,Japan,252.1,0.17
1990,6,India,105.15,2.72
1995,6,India,286.95,7.0
2015,3,Vietnam,165.53,11.29
1991,11,India,262.23,7.6
2021,3,Germany,111.4,4.21
1994,12,India,273.41,0.73
2020,7,Germany,186.22,11.73
2001,6,Japan,118.22,2.47
2024,5,Japan,200.35,5.83
2019,11,Germany,68.49,2.99
1995,6,Canada,139.98,0.21
2004,6,India,182.39,7.18
2004,4,Vietnam,181.61,11.01
2005,12,Vietnam,203.52,1.45
2009,11,Germany,60.81,4.7
2002,5,France,241.62,9.11
2020,7,India,73.31,-0.59
2023,11,France,285.23,8.66
2018,11,India,186.98,8.51
1992,1,France,295.09,7.78
1998,12,Canada,95.44,7.18
2000,10,France,243.99,-1.89
2000,12,France,195.73,9.5
2014,6,UK,258.94,4.57
2011,5,Germany,62.89,9.06
1998,6,France,141.31,-0.93
2009,1,USA,214.82,1.08
2010,4,France,121.94,5.29
1999,8,USA,277.23,1.42
2011,4,Japan,243.07,4.96
2018,10,India,142.95,3.51
1998,8,Canada,87.49,-0.17
1994,11,India,217.6,-1.17
2000,8,France,229.87,3.79
1990,2,UK,118.35,2.84
1990,6,France,72.21,4.67
1994,7,India,83.29,2.34
2011,7,France,269.46,7.36
2015,1,Japan,144.53,10.17
1995,4,France,249.85,7.4
2021,7,Germany,149.81,11.09
2000,6,Germany,241.23,6.63
1999,12,Canada,260.04,-0.46
2023,3,Japan,132.08,1.07
2020,10,Vietnam,298.91,9.72
2001,10,UK,93.98,3.54
2005,1,Germany,190.69,2.0
1992,5,Japan,216.37,0.62
1991,11,India,88.47,5.16
1994,8,Germany,58.38,10.32
2000,3,Japan,79.74,9.03
2014,5,UK,86.32,-1.95
2024,9,Canada,209.37,5.19
2024,8,Vietnam,292.74,6.28
2011,11,Germany,173.82,5.39
2011,9,Canada,248.51,10.24
2000,5,UK,76.32,7.86
2021,3,USA,138.11,11.04
2024,11,UK,89.25,7.27
2020,9,Japan,221.68,9.83
1997,4,France,289.72,1.0
2009,1,India,131.92,-1.56
2023,11,Germany,126.94,9.08
1993,2,UK,159.28,3.76
2007,8,France,76.25,2.13
1993,2,Germany,240.14,-1.56
2009,6,Germany,278.66,7.97
1998,12,Vietnam,72.5,5.41
2005,5,Japan,139.93,7.0
2015,9,Japan,267.93,-0.4
2014,8,Canada,88.55,11.55
1993,1,France,221.86,7.42
2008,3,Canada,98.56,4.28
2003,12,USA,232.13,5.75
2010,5,India,213.53,3.07
2004,12,Canada,288.39,-0.72
1992,8,USA,188.99,3.2
2005,7,Japan,164.05,1.44
2003,2,USA,179.32,9.1
1998,12,Canada,199.95,8.42
1996,7,UK,290.99,7.99
2003,5,Vietnam,64.74,-1.85
1995,6,Canada,196.3,6.91
2010,8,UK,177.08,3.4
2004,5,Germany,292.09,11.29
1997,9,USA,246.12,11.52
2023,1,France,268.43,6.19
1990,5,Vietnam,68.99,8.35
2021,1,USA,263.94,9.99
1994,1,Japan,238.82,4.88
2019,1,France,175.14,5.16
2011,5,USA,129.66,8.59
2009,9,Canada,138.38,10.67
2005,2,Vietnam,212.73,10.79
1996,6,Germany,74.27,10.06
1996,5,Japan,110.73,0.28
1991,12,Germany,215.51,7.41
2003,7,UK,124.04,11.79
2020,7,Japan,247.45,6.63
2003,3,India,234.05,5.87
1994,6,Germany,175.91,11.46
2000,3,India,247.33,11.44
1994,2,India,90.13,-1.02
2018,5,Germany,253.55,7.85
2000,4,Canada,100.63,6.23
1994,4,Japan,221.97,11.0
2021,4,France,223.81,8.86
2004,8,Vietnam,202.43,6.57
2008,1,India,186.15,5.58
2011,3,Japan,270.44,9.12
2023,9,India,216.92,2.63
2006,3,Germany,138.27,7.15
2001,1,France,246.38,10.3
2014,5,USA,103.64,2.74
2006,4,Vietnam,136.1,4.22
1999,10,Japan,244.87,0.08
2017,8,India,292.32,8.43
2007,11,USA,277.66,2.59
2007,12,France,126.65,3.65
2021,11,Vietnam,262.02,9.09
2003,9,USA,186.14,1.83
2005,10,USA,160.03,10.67
2007,5,Vietnam,178.04,9.41
2005,1,Germany,225.54,-1.83
2006,4,Germany,167.85,5.88
1996,3,Germany,65.74,9.74
2001,6,Germany,61.27,2.01
2023,2,Japan,169.18,3.37
1999,5,Canada,160.61,6.55
1994,8,India,251.09,3.99
2010,11,Japan,105.71,4.98
1992,5,USA,196.03,8.05
2008,5,Vietnam,205.86,8.73
2024,8,India,94.61,4.45
1995,11,France,95.03,4.75
2003,5,France,232.23,10.44
1993,4,India,106.97,9.78
2007,10,Vietnam,111.34,3.74
2018,9,Vietnam,112.44,11.56
2024,2,USA,220.42,-0.85
2005,1,UK,215.49,-1.87
2009,4,Canada,289.11,6.28
2013,10,Vietnam,167.3,10.17
2024,12,India,103.74,4.45
2008,3,Canada,156.3,11.75
1993,9,Canada,180.67,3.56
2022,3,Japan,98.84,6.88
1991,3,India,242.06,2.49
2002,10,Canada,74.11,9.31
2019,7,France,56.5,7.04
2023,12,Vietnam,91.62,2.27
2019,2,France,58.57,11.95
2013,11,Vietnam,78.8,4.84
2022,8,USA,69.91,11.47
1999,6,Canada,222.79,3.84
2007,12,USA,231.53,8.56
2008,11,Vietnam,131.73,9.53
1996,12,Japan,99.56,4.72
2008,9,France,241.98,11.62
2013,8,USA,89.6,8.87
2004,4,India,147.57,5.39
2012,8,Germany,192.55,8.81
1993,4,Japan,187.93,9.32
1993,11,USA,157.17,5.71
1994,5,UK,188.36,2.81
2012,11,UK,216.65,2.2
2000,10,Germany,111.15,5.61
2000,11,Canada,147.78,-0.71
2002,7,Canada,221.79,1.97
2003,6,France,81.66,10.58
1997,5,France,136.02,10.47
2014,2,France,57.94,4.41
2007,5,India,102.52,7.01
2007,10,Vietnam,152.26,-0.6
1999,7,Germany,116.88,3.28
1996,11,India,246.46,8.17
2003,6,France,152.56,11.3
2004,6,France,129.92,8.48
2005,5,Vietnam,286.02,-1.42
1991,9,Vietnam,208.79,4.19
2019,1,Canada,227.4,6.0
2019,4,UK,266.79,3.37
2007,7,USA,126.4,0.07
2020,1,Germany,188.05,3.36
2002,12,USA,153.03,5.24
2009,11,UK,121.64,-1.68
2024,4,India,52.57,1.77
2012,6,Canada,84.75,11.08
2022,10,Vietnam,252.78,8.61
2024,8,USA,84.5,7.77
2009,7,UK,276.42,8.27
1992,12,France,117.97,6.79
1997,9,Japan,165.77,2.49
2021,7,France,266.38,2.24
2018,3,Vietnam,136.74,8.56
1996,10,Germany,107.49,4.67
1991,4,India,57.85,7.82
2010,3,India,287.79,-0.03
1995,9,Japan,151.16,5.75
2017,11,Vietnam,272.43,10.0
2021,11,Vietnam,158.91,0.89
1998,8,Germany,270.62,-1.82
2000,10,Canada,75.96,10.34
2012,9,USA,160.24,3.23
2000,10,UK,160.75,8.28
1991,10,UK,293.39,3.77
1992,2,USA,173.28,2.95
2000,5,Canada,76.18,10.92
2024,5,USA,277.0,8.92
2004,7,Germany,287.42,2.52
2000,4,Japan,152.03,-0.34
2020,4,UK,249.16,1.28
2017,8,Japan,67.4,1.2
2017,1,Germany,151.38,5.48
2021,6,France,177.75,1.88
2014,9,Canada,267.82,9.39
2009,2,USA,75.24,5.3
2017,5,Vietnam,151.67,3.83
2014,10,UK,178.22,3.32
2000,10,Japan,216.6,-1.83
2008,9,India,75.8,6.18
2017,11,UK,120.34,8.01
1990,12,India,61.23,10.51
1994,4,France,87.01,1.27
1999,9,India,173.77,9.95
2023,8,India,108.75,4.65
1991,9,India,169.87,9.41
2007,2,Vietnam,247.35,1.48
2002,10,UK,144.64,2.75
1994,5,India,230.79,-1.98
2009,10,Vietnam,241.63,0.99
1991,9,France,184.53,5.77
2000,5,France,118.5,8.12
2019,12,UK,249.39,-0.34
2021,4,USA,144.6,7.34
2021,8,Japan,197.46,6.3
2017,6,Canada,173.17,8.06
1999,2,Japan,206.51,6.66
2011,8,Canada,263.02,10.7
2006,12,Canada,138.64,11.36
2011,5,Japan,279.06,2.26
2008,7,USA,77.19,8.28
2006,4,Japan,115.23,7.19
2013,9,Vietnam,279.89,6.08
2021,2,USA,66.02,0.88
2017,12,Germany,165.63,0.24
2003,10,UK,114.97,5.07
1995,9,Canada,247.11,1.64
1998,4,Germany,71.8,5.9
2010,6,USA,81.71,3.25
2001,5,France,89.39,0.86
2019,3,India,128.91,0.33
2020,7,USA,264.38,0.04
1993,4,Vietnam,268.83,-1.58
2020,1,UK,100.37,11.36
2016,8,Germany,179.9,11.15
2014,3,USA,216.29,-1.74
1994,6,UK,153.08,5.23
1995,12,India,287.3,2.19
1994,2,Vietnam,186.93,11.16
2016,9,Germany,158.75,11.28
1997,4,Germany,206.24,0.15
1998,7,Japan,255.37,9.9
2004,9,Germany,114.98,6.53
1996,11,Canada,280.37,3.57
2021,3,Japan,129.57,7.33
1997,3,Germany,208.55,11.73
2004,3,France,229.45,8.64
2008,5,Germany,275.62,2.57
1995,10,USA,206.7,9.74
2008,6,India,284.96,10.28
2017,3,Vietnam,228.24,3.81
2006,10,India,248.22,10.46
2008,9,Germany,244.64,-0.47
2020,1,Germany,200.43,0.61
2000,7,Japan,272.9,0.58
2004,11,India,134.06,2.93
1999,9,Canada,102.97,11.91
2012,5,Vietnam,91.95,5.61
1992,3,USA,181.8,7.44
1992,10,India,281.04,2.3
2007,4,UK,193.94,10.57
2014,8,India,269.1,11.39
2009,12,USA,85.79,8.32
2018,3,India,230.39,10.44
2011,5,Vietnam,295.85,8.59
2004,12,France,186.4,10.97
1999,3,USA,248.95,-0.43
2010,12,Japan,181.53,11.27
2018,6,Germany,266.8,2.64
2021,12,Vietnam,197.46,0.5
1999,1,Vietnam,99.28,10.94
2002,7,Japan,108.13,2.56
2012,11,Germany,139.16,-0.3
2012,6,Japan,292.26,6.79
2020,12,France,206.49,7.55
1993,6,Japan,170.93,4.76
1992,3,Canada,141.8,-0.54
2010,1,Canada,269.79,9.67
1991,11,Germany,125.72,5.6
1993,1,USA,168.0,6.97
1990,7,UK,84.08,-1.95
2004,4,Germany,145.01,7.47
2022,6,USA,269.28,3.89
1995,4,USA,68.13,0.46
1996,8,USA,60.12,-0.58
2008,12,Vietnam,158.29,2.79
1990,9,India,217.07,6.5
2008,2,Germany,59.1,1.62
2015,1,Canada,168.41,-1.82
2001,1,Germany,59.78,4.0
2011,12,Japan,216.41,0.99
2002,12,Germany,226.78,2.68
2017,7,USA,274.95,-0.55
2003,2,UK,286.04,-0.81
2011,3,France,247.15,-0.22
2019,12,Canada,179.26,6.07
2009,4,UK,102.87,-0.17
2016,9,Japan,221.94,-1.42
2023,10,Germany,294.36,6.95
1990,2,UK,267.19,0.03
2004,10,Canada,197.45,-1.22
2021,2,Germany,278.69,9.32
1997,1,Japan,143.02,3.28
2022,8,Germany,193.3,6.39
2007,8,Japan,173.8,-0.17
2018,5,India,179.25,3.45
2021,3,UK,293.58,4.13
2022,1,Japan,110.15,9.64
1994,2,France,60.96,6.21
2007,9,Japan,52.01,11.99
1999,8,Japan,101.64,0.87
2022,10,Japan,191.87,-1.53
2012,11,Canada,245.38,6.58
1994,4,Japan,111.49,4.31
2023,3,Japan,95.43,10.27
2013,5,Germany,148.86,9.22
2006,8,Vietnam,226.44,9.23
2020,10,France,104.5,6.82
1996,6,France,209.36,5.58
2006,10,USA,169.88,1.66
2017,11,Japan,79.61,0.05
2011,4,USA,157.2,3.28
2004,8,India,121.21,2.74
2004,4,Vietnam,189.8,1.92
2014,5,India,221.71,11.74
2010,2,Canada,287.47,0.42
1991,10,UK,214.99,-1.79
2016,4,Japan,75.1,-1.11
2021,10,Vietnam,199.14,8.24
2010,10,Canada,238.78,2.38
1993,3,UK,163.93,8.73
2008,12,UK,199.81,11.58
1991,12,UK,152.58,1.98
2015,8,UK,86.22,1.21
2023,8,Germany,109.43,3.64
2003,7,Canada,178.38,-1.09
2004,6,Japan,230.67,8.22
2009,9,Germany,185.19,1.05
2023,4,UK,189.2,7.27
2008,4,Japan,154.49,4.06
1998,6,Canada,103.55,4.69
1996,1,India,138.24,10.49
2019,2,Germany,94.39,2.66
2002,2,India,218.7,-1.09
2016,10,France,214.36,4.75
2024,4,Japan,228.01,8.93
2002,5,Canada,77.4,6.57
2004,2,Vietnam,141.76,5.4
1998,8,UK,230.23,11.01
2012,5,Japan,254.75,7.59
1992,8,Canada,297.37,2.73
2023,9,Canada,286.2,9.6
2008,11,UK,81.55,3.51
2017,9,India,246.44,8.86
2012,4,Japan,215.54,0.62
1996,10,Canada,55.87,3.75
2001,2,France,276.19,-1.28
2003,11,Japan,173.79,1.6
2004,2,Canada,243.11,7.28
1992,12,Japan,187.79,3.56
2004,5,Germany,132.03,2.16
2013,10,USA,171.95,6.72
1997,4,Vietnam,257.71,-1.15
1994,6,Germany,102.1,5.38
1993,9,India,187.96,7.83
2003,7,UK,206.46,4.75
2005,12,India,196.49,10.02
2009,11,Japan,148.65,10.18
2013,4,USA,91.19,10.81
1995,7,Japan,115.38,1.45
2020,2,Germany,164.31,-1.29
1995,5,UK,101.63,9.34
2024,12,Vietnam,232.32,5.7
2004,11,France,119.55,6.22
2018,9,India,99.4,11.2
1992,11,Germany,138.92,0.33
2000,9,USA,106.44,8.17
1992,4,Germany,226.3,0.52
2017,8,Germany,249.67,9.65
1999,5,Canada,154.89,-0.19
2022,3,USA,215.68,6.74
2005,6,India,99.32,9.24
1999,4,Canada,133.98,1.16
2022,3,UK,88.38,8.5
1992,4,Germany,102.8,10.74
1994,1,France,168.3,9.38
2001,10,France,211.79,3.51
2002,8,Japan,85.85,9.22
2013,9,India,182.25,7.13
2021,6,India,165.31,-1.65
2005,5,Vietnam,52.96,3.47
2021,12,Vietnam,268.65,-0.25
2010,9,USA,194.64,1.68
2001,4,India,115.01,7.94
2010,1,Vietnam,199.28,3.08
2010,12,Japan,282.28,2.84
1995,11,India,54.92,7.13
1998,7,Canada,288.03,5.5
1990,1,UK,213.99,4.37
2001,12,USA,184.69,1.7
2003,9,Japan,149.25,1.46
1995,4,France,83.02,10.38
1990,12,UK,54.52,0.05
2011,3,USA,158.65,0.98
2023,4,USA,187.84,6.09
2000,1,UK,297.4,11.68
1992,6,India,181.36,7.03
1995,7,Canada,226.28,6.02
1995,7,Japan,207.95,9.8
2009,5,France,269.8,8.24
2010,10,Japan,171.79,10.56
1991,12,Germany,94.12,10.36
2015,10,France,109.1,3.53
2020,5,Germany,139.68,6.7
2015,6,USA,97.43,-0.74
2021,10,Germany,248.0,4.98
1999,12,Japan,142.4,7.77
2012,8,Japan,145.19,10.55
1995,9,France,175.12,4.33
2012,6,France,121.85,9.6
2017,3,Germany,81.3,8.98
2019,6,Germany,233.7,2.23
2003,4,Vietnam,197.77,7.45
2021,4,Vietnam,97.74,9.82
2023,11,Canada,65.46,2.04
2011,11,USA,184.5,0.0
2020,7,Japan,216.62,-0.44
1996,6,Canada,108.39,-0.59
2010,8,Vietnam,147.86,2.43
2005,11,India,269.98,4.79
2009,8,Canada,176.38,6.35
2008,3,France,264.67,1.27
2021,11,Japan,186.59,3.8
2004,4,France,202.67,9.43
1994,2,France,195.47,7.04
2000,1,Canada,84.06,1.39
2004,7,USA,62.37,11.37
2018,8,UK,229.54,1.42
1993,12,Vietnam,201.48,2.8
2012,8,Germany,137.13,1.92
2004,6,France,196.98,-1.14
1992,7,UK,186.43,7.55
2021,8,Germany,233.99,-1.05
1999,4,Canada,194.86,11.19
2011,8,Canada,214.77,0.4
2003,6,Germany,186.76,11.18
2006,12,France,89.66,0.67
2010,7,India,264.12,0.09
2004,10,Canada,150.41,-1.91
2004,7,India,101.71,1.65
1990,8,France,291.65,8.19
2013,11,Germany,213.24,8.28
2001,5,Japan,280.19,-2.0
1999,2,USA,111.36,-0.07
2020,8,USA,212.32,-1.08
2000,1,Germany,158.09,1.51
2005,2,France,60.68,1.69
1998,5,USA,168.62,2.03
2003,4,USA,136.12,8.46
2008,12,Japan,71.91,0.68
2020,11,Vietnam,237.42,2.24
1998,2,Japan,187.29,2.66
2015,4,Germany,58.34,-0.75
1997,7,Vietnam,110.78,11.49
2013,5,Canada,291.91,-1.89
1997,4,USA,229.96,11.45
2008,2,Germany,281.0,-0.39
2019,2,Japan,189.44,2.62
2011,1,USA,257.16,5.55
1998,10,Canada,177.29,11.88
1993,6,France,171.58,7.73
1997,6,Japan,99.65,6.25
1990,4,France,247.07,4.31
2017,9,UK,177.77,10.48
1995,4,Vietnam,96.0,5.56
2000,3,Canada,160.42,0.47
1994,11,France,167.9,1.63
2013,10,Canada,59.02,7.1
2007,9,USA,234.08,4.1
2009,1,UK,55.03,10.99
2017,2,UK,189.24,3.79
2002,1,France,211.36,7.96
1994,7,Japan,60.95,10.57
2019,12,Japan,131.24,0.35
1990,1,India,242.53,5.43
2011,11,France,85.92,5.56
2007,11,Vietnam,173.53,0.45
1994,1,USA,78.44,9.11
2020,6,Vietnam,290.08,-1.61
1995,6,India,107.88,3.16
2016,11,Vietnam,160.01,2.25
2014,12,Germany,155.59,2.2
2018,5,Canada,199.85,-1.9
2017,4,Germany,132.02,10.1
2005,8,Canada,170.04,1.45
2001,3,Canada,280.53,6.8
2009,1,Vietnam,64.43,6.62
2007,1,Japan,53.7,0.39
2023,5,Germany,299.36,4.33
2012,3,UK,166.91,1.93
2016,3,Vietnam,133.08,6.59
2006,11,Canada,104.0,5.13
2010,2,Germany,219.95,-1.8
2020,9,India,206.55,1.89
1992,11,USA,115.54,3.7
2006,6,France,110.78,10.11
2015,7,Canada,258.19,9.38
2012,2,Japan,234.76,10.67
1995,11,USA,240.98,6.32
2017,1,Japan,163.93,2.4
1997,8,Vietnam,127.53,3.38
1997,10,Germany,174.45,1.8
2008,4,Germany,198.44,1.62
2018,9,Japan,230.65,7.99
2012,12,USA,164.84,8.24
2021,9,France,223.77,3.41
1999,11,UK,180.21,3.71
2016,12,Japan,90.36,6.32
1990,4,Vietnam,69.04,5.6
2018,10,UK,190.22,4.25
1992,3,India,165.87,0.15
2020,5,Japan,145.17,-0.99
2000,6,Japan,192.52,4.41
2011,10,France,225.24,2.84
2007,4,UK,107.89,-0.16
2024,1,Vietnam,186.3,11.13
1995,7,France,104.83,3.31
1992,5,UK,210.06,7.94
1994,2,France,188.95,2.14
1998,11,France,225.04,-1.2
2017,9,France,258.88,10.47
2008,8,Vietnam,131.62,9.95
2017,10,Germany,273.2,-1.48
2016,7,France,69.16,9.26
2002,9,France,208.9,11.63
2010,10,USA,126.57,-1.28
2016,2,Vietnam,236.86,9.48
1995,3,Canada,51.92,8.42
2000,9,Germany,257.62,1.72
2006,6,Germany,258.22,7.91
1996,2,UK,170.87,2.8
2019,6,Vietnam,282.36,1.93
2010,5,France,154.15,-0.15
1990,10,France,276.23,10.86
2014,5,France,50.15,4.3
2021,5,Canada,151.8,1.57
1997,2,Canada,64.71,1.22
1994,6,Japan,97.7,2.04
2019,7,France,159.64,6.16
1997,9,Canada,220.51,7.22
2008,5,Japan,127.56,8.46
2019,11,Canada,107.99,0.31
2004,11,UK,262.65,3.76
2016,5,Canada,63.64,-1.87
2002,9,Canada,261.36,-0.82
2003,6,Japan,56.6,1.64
2019,7,Vietnam,52.4,-1.9
2002,4,France,284.05,-0.06
2005,4,USA,135.13,4.07
1996,1,India,91.2,3.36
2016,11,Vietnam,96.27,6.95
2024,5,Japan,211.71,0.68
2004,2,Japan,256.6,1.21
2017,5,Germany,162.47,3.68
2024,5,Vietnam,106.4,7.04
1996,4,UK,128.16,11.22
2009,12,Vietnam,99.82,6.95
2021,10,Japan,97.65,-1.97
2021,9,Canada,189.64,9.78
2015,5,Vietnam,181.61,2.46
2009,6,UK,218.59,1.54
2007,1,Germany,93.78,7.82
2004,12,Canada,60.09,8.32
2011,5,USA,191.77,4.41
2011,12,France,269.78,5.61
2010,9,India,228.01,7.61
1991,12,Canada,105.12,11.52
2007,11,Vietnam,155.94,7.3
2012,6,USA,103.9,1.27
2002,9,Canada,92.29,8.03
1998,12,India,269.23,8.59
1996,4,USA,88.1,-1.12
1990,2,France,224.19,-1.54
1991,9,Canada,137.87,9.93
1993,4,Vietnam,114.66,-1.2
2003,11,India,283.22,0.35
2021,2,USA,270.9,10.77
1991,1,Canada,106.57,-0.66
2003,2,Canada,152.96,0.87
2009,5,UK,226.33,-0.39
2014,3,India,253.18,6.51
1997,6,UK,159.61,8.39
2017,4,Canada,278.5,9.89
2010,2,Germany,154.28,1.29
2012,7,Vietnam,76.74,-0.68
2021,12,Japan,295.63,10.51
1997,11,Germany,282.52,2.2
2020,6,Germany,243.26,9.22
2005,8,India,273.09,11.26
2016,10,France,211.76,-1.75
2007,5,India,150.51,6.56
2024,3,Germany,143.68,8.54
2004,4,USA,126.54,6.49
2016,5,Japan,221.25,8.92
2006,5,Vietnam,124.24,10.56
1991,6,UK,135.5,0.04
2020,9,UK,174.82,2.01
2023,4,Canada,161.49,0.39
2023,7,France,62.16,0.16
1992,7,USA,157.51,5.2
2006,6,France,172.28,6.51
2003,1,Japan,189.33,4.14
2003,9,USA,267.34,9.74
2024,6,France,136.99,5.34
1990,3,France,225.13,3.79
2018,11,UK,279.25,6.93
1993,2,USA,282.81,9.27
2022,12,India,284.75,9.31
2006,12,UK,259.91,0.51
2017,3,France,189.0,-1.01
2015,11,France,226.71,7.2
1997,1,India,67.21,3.13
2023,3,Vietnam,96.65,7.99
2007,5,Vietnam,297.52,4.65
2020,4,Canada,56.29,7.48
2016,10,Vietnam,57.5,1.34
2005,1,Japan,109.59,4.94
1999,5,India,191.0,4.69
2001,3,USA,99.7,-0.74
2011,10,Vietnam,75.6,8.18
2005,11,France,86.51,10.08
2001,7,Japan,165.69,-1.89
2000,10,Germany,182.33,6.13
2009,11,Vietnam,112.81,7.08
1990,8,Japan,288.46,9.35
2016,5,Vietnam,252.48,4.03
1992,10,France,167.56,5.09
2001,8,Germany,91.58,3.68
2019,6,Germany,272.82,8.86
1998,6,Vietnam,88.62,2.42
1990,5,Japan,220.91,0.86
1993,11,Germany,206.33,2.62
2004,10,India,270.36,7.47
2016,6,Vietnam,129.52,4.74
1997,1,India,111.93,8.76
2012,8,Japan,156.1,7.21
2004,5,Germany,270.55,1.85
2016,8,USA,84.03,3.03
2020,3,Japan,286.82,4.43
1997,10,Germany,215.38,3.04
2019,6,Vietnam,68.74,5.39
2007,1,Germany,201.21,10.15
1993,1,Vietnam,182.59,-0.71
2011,4,Canada,207.33,-1.68
1992,12,Germany,173.62,6.3
2004,10,USA,249.42,11.65
2024,6,India,259.57,11.81
2022,3,UK,189.61,6.48
2003,11,Vietnam,73.34,10.48
1990,11,USA,175.41,6.3
2015,12,UK,73.74,8.76
1997,12,Vietnam,55.64,5.8
2005,5,France,157.69,8.1
1999,10,India,292.46,8.41
2015,11,Germany,92.64,1.16
2017,4,UK,250.96,2.02
2001,10,UK,52.5,9.87
2009,12,Canada,72.97,10.66
2003,3,Vietnam,259.58,5.97
2024,9,France,145.16,2.68
2018,4,USA,292.14,10.26
2001,10,India,65.45,9.22
2007,7,France,133.74,2.61
1991,5,France,195.75,-1.62
1991,7,Japan,221.49,4.33
2006,5,France,176.59,2.41
1999,3,Vietnam,260.74,9.48
2007,6,UK,215.73,8.77
2011,9,USA,284.35,7.83
2008,12,Germany,245.26,3.22
1990,6,India,291.46,-0.05
2013,4,Canada,234.24,2.59
2014,1,Canada,109.89,10.59
2020,3,Germany,179.6,9.88
2020,3,Germany,136.74,0.41
1991,2,Canada,166.02,11.88
2008,10,Japan,171.42,6.84
2001,2,Canada,287.74,0.59
1999,8,UK,235.17,7.86
2020,8,Japan,240.78,0.44
2011,3,France,275.84,8.3
2012,4,USA,52.18,7.58
2012,5,Japan,234.83,10.5
2004,11,USA,236.09,11.69
2015,9,UK,171.96,0.3
1992,5,UK,125.94,7.41
2012,11,Japan,62.75,2.13
2009,6,Germany,292.16,-0.9
1997,7,Japan,173.23,2.06
2007,11,France,79.22,-0.82
1995,2,India,217.02,6.3
2016,4,Canada,245.33,-1.92
2004,6,UK,280.11,6.65
1994,4,Canada,171.68,7.95
1998,5,France,252.29,10.23
1996,3,Canada,263.95,0.09
2009,2,India,103.34,9.2
1999,1,India,154.99,10.07
2015,3,India,201.0,9.98
1993,10,Canada,184.5,10.27
2013,9,Germany,298.7,11.34
2003,1,Vietnam,143.19,4.71
1990,8,UK,266.8,1.81
2006,5,France,98.63,7.99
2013,12,UK,277.06,1.43
2016,4,Vietnam,53.35,5.12
1996,5,UK,232.5,6.16
1998,11,Vietnam,166.72,7.97
2024,7,France,52.06,8.59
2001,8,Vietnam,273.59,11.97
2010,2,Japan,216.32,10.83
1992,6,USA,231.53,1.78
2004,4,UK,202.99,10.72
2010,8,Germany,279.32,10.84
1999,12,France,254.24,11.28
2022,4,Germany,124.02,7.83
1995,12,Canada,135.08,6.34
1991,3,USA,81.81,3.3
2018,5,Japan,61.95,3.44
2022,4,Germany,244.96,6.66
1993,12,France,132.52,9.08
1993,5,Canada,185.16,2.11
2018,9,France,226.35,6.01
2009,11,USA,229.15,4.48
2012,3,Germany,266.5,5.94
2007,2,USA,253.06,6.08
2014,2,Germany,223.04,10.55
1990,9,Japan,101.16,-1.11
2004,7,Canada,258.48,6.13
2023,10,Japan,77.42,9.48
2009,12,Vietnam,108.0,6.23
2016,4,Germany,133.52,3.91
2011,6,Vietnam,191.28,2.11
1994,10,Vietnam,286.0,11.69
2023,6,Canada,193.54,-0.01
1992,3,Germany,213.46,2.52
2006,9,India,196.82,3.41
2013,4,UK,71.26,4.53
2013,1,Japan,125.3,5.59
1992,2,Germany,281.34,9.12
1996,5,Vietnam,109.24,8.87
2014,8,UK,153.33,-0.29
