year,month,country,energy_source,consumption_TWh,co2_emission_mt
2007,10,UK,coal,3795.59,145.08
2004,2,Germany,coal,2577.97,1504.24
2021,2,China,nuclear,3622.61,1279.99
1998,8,UK,hydro,2208.48,1581.26
1999,3,China,wind,3854.07,536.86
2009,1,Germany,hydro,4646.66,806.94
1995,8,USA,oil,1080.61,126.29
1992,2,China,solar,1847.11,1506.58
2000,6,India,solar,3246.88,1812.41
2006,8,China,solar,2605.86,312.99
2021,10,USA,nuclear,2431.18,585.19
1993,9,China,hydro,4191.6,155.05
1993,1,Germany,coal,3750.32,586.19
2006,9,China,wind,2625.34,710.07
2008,8,France,gas,1232.79,1074.79
1994,6,Japan,oil,3880.09,776.24
2021,12,India,hydro,2194.29,273.81
2011,5,China,hydro,4604.69,1061.78
1995,6,Brazil,coal,19.75,1843.93
2024,2,Germany,wind,2842.68,1547.06
2011,11,China,gas,3080.99,161.4
1990,3,UK,wind,692.4,743.13
2009,9,USA,coal,2534.26,434.73
2011,3,India,coal,583.28,1978.57
2000,10,France,wind,2002.09,1723.75
2002,7,USA,solar,3386.07,1526.27
1992,11,India,gas,3414.47,1669.69
1998,4,USA,coal,2401.08,334.84
2001,12,Japan,coal,4141.14,935.72
2012,11,India,coal,2890.82,1241.68
2003,9,China,gas,3008.76,1440.2
2022,12,USA,coal,879.21,828.89
2007,4,France,gas,2345.45,706.86
1998,10,India,hydro,249.07,109.87
2012,10,France,solar,1290.79,1442.06
1999,6,France,wind,1031.19,972.8
2008,12,China,solar,1873.3,666.07
1994,2,India,hydro,2364.38,1864.01
2012,7,India,coal,1141.73,245.54
2019,3,Germany,nuclear,303.4,78.29
2014,1,France,hydro,1741.95,843.81
2017,12,France,gas,509.85,189.26
2023,7,Germany,wind,689.59,1169.22
2014,5,USA,solar,4038.45,797.12
1999,11,China,hydro,2081.89,709.69
2003,12,UK,solar,1736.97,1300.08
2019,7,Brazil,hydro,328.98,1617.51
2014,1,Brazil,coal,1982.5,69.99
2003,5,Japan,gas,2796.61,1470.02
2024,2,India,nuclear,1651.23,832.64
2023,1,France,gas,2820.68,1586.08
1999,6,USA,hydro,4994.53,913.23
2024,12,Germany,hydro,2065.36,1901.72
2000,5,China,coal,2817.17,1262.4
2000,4,Germany,nuclear,924.99,416.49
2010,1,India,solar,3445.89,746.67
2010,5,Germany,oil,60.82,159.54
2011,7,Japan,solar,922.24,1401.82
1996,1,Germany,nuclear,1830.53,168.68
2006,4,Japan,gas,3756.57,460.56
1991,6,China,coal,3645.52,1862.7
2001,8,Japan,solar,4414.08,648.25
2007,7,USA,oil,4834.8,1417.09
2000,7,India,oil,974.41,1314.96
2005,8,France,wind,4751.69,187.27
2007,7,India,wind,1212.62,302.58
2024,4,Japan,wind,3099.01,567.62
2015,11,China,solar,812.66,753.31
2005,6,Brazil,gas,113.26,1525.41
1995,12,Japan,wind,1581.09,222.67
2001,2,Japan,coal,1114.19,1898.1
2002,8,USA,oil,1711.87,1018.33
1993,3,China,coal,1398.24,345.25
1991,4,Japan,gas,581.7,221.51
2015,2,China,gas,1047.24,1684.97
2016,9,Japan,coal,443.49,1905.61
2016,2,Germany,wind,2653.76,1845.06
2004,6,USA,solar,4139.47,1263.1
1997,3,Japan,solar,2864.12,121.46
1996,12,India,gas,1626.8,1088.01
2001,6,Japan,solar,4232.83,1489.51
2002,4,UK,solar,771.31,789.54
2006,8,Japan,wind,4131.57,1563.85
2006,3,India,gas,3086.31,435.33
2010,8,Brazil,oil,1006.46,712.82
1997,3,China,wind,1043.88,412.89
1994,5,UK,coal,298.82,1198.01
2015,11,China,gas,4428.72,854.8
2005,2,UK,nuclear,3758.42,1079.8
2017,6,Japan,nuclear,4662.49,116.45
2018,7,Japan,gas,1135.96,1924.93
2001,8,Germany,hydro,230.35,1847.02
2019,4,Brazil,nuclear,2476.07,1882.55
2012,9,China,wind,1579.39,270.79
2005,2,UK,oil,2076.19,1304.73
2003,8,India,oil,2322.09,958.05
1999,6,Germany,oil,3965.02,1586.01
1996,4,China,gas,3586.34,347.37
2018,2,USA,solar,3897.93,36.6
1992,4,Japan,gas,1137.62,159.39
2004,3,Japan,solar,212.04,1046.96
2008,4,Germany,nuclear,4390.11,316.72
2002,4,UK,oil,1870.3,1889.66
2010,11,Japan,oil,1676.65,271.0
2016,7,Brazil,hydro,3693.5,1670.43
2018,1,USA,gas,610.74,693.75
2009,9,USA,wind,1851.86,158.3
2014,5,Japan,nuclear,2296.35,1274.43
1995,3,Japan,nuclear,4936.63,822.97
1991,7,USA,gas,3851.24,1996.53
2011,7,UK,solar,4317.51,1578.14
2021,8,Germany,oil,4105.16,1024.52
2005,10,France,coal,1433.73,1949.17
2007,4,USA,solar,869.64,826.66
1994,9,Japan,solar,4703.27,1957.48
2019,2,USA,nuclear,313.21,1125.13
2008,6,Japan,solar,2848.64,1219.88
2012,3,France,gas,1683.69,1879.67
2023,8,UK,oil,3616.94,133.15
2002,8,China,oil,1277.8,1281.96
2018,6,China,wind,3822.29,258.51
2011,4,Japan,solar,2216.35,723.79
1998,8,Germany,oil,2566.34,1271.07
2008,6,Japan,hydro,3851.08,71.01
1995,12,France,solar,3176.5,1561.47
2004,9,Japan,wind,3538.74,646.13
2009,7,USA,oil,3026.15,1919.5
1998,9,India,hydro,4507.43,146.61
2021,8,China,solar,1242.04,1029.44
1993,4,France,wind,1390.41,387.96
2007,12,USA,gas,4027.46,1190.31
1994,6,France,oil,288.02,803.23
2009,7,Germany,wind,1574.35,86.84
2012,4,Brazil,gas,4595.47,162.58
2000,4,India,nuclear,1692.01,565.15
2011,10,China,solar,4655.01,712.4
1993,3,China,oil,4205.31,48.14
2018,10,Japan,hydro,4138.26,1970.58
2023,6,Japan,nuclear,539.45,40.14
2002,11,USA,gas,133.25,1205.42
1998,2,USA,coal,4280.33,679.25
2020,11,Brazil,wind,3550.73,1018.19
1996,4,India,gas,1881.59,1370.04
1993,8,UK,nuclear,1684.97,44.64
2008,3,Brazil,nuclear,378.48,1763.3
2019,12,Japan,solar,2712.11,328.74
2020,8,Germany,wind,2580.88,1973.66
2024,7,USA,nuclear,3168.9,106.2
2010,7,France,oil,3789.56,692.09
2020,11,USA,gas,1697.78,704.24
2008,9,France,solar,2526.32,987.23
2020,4,France,gas,2007.22,1432.84
2021,11,China,hydro,202.41,1173.29
1991,8,India,gas,1147.99,118.91
1999,2,France,hydro,4242.11,1073.26
1991,3,Japan,coal,2581.97,1278.95
1991,4,Brazil,oil,3082.52,1867.67
2013,9,France,solar,3347.01,508.57
2006,1,UK,solar,4473.62,1008.29
2021,7,UK,gas,2217.58,1321.25
2005,2,Germany,wind,4567.32,1192.69
2005,5,Germany,coal,4962.41,64.71
2020,1,USA,wind,3654.57,584.94
2013,6,France,wind,3911.29,844.44
1990,12,India,gas,4786.9,1306.28
2000,3,China,hydro,2706.77,1027.82
2010,6,Germany,solar,2540.14,674.93
1993,8,France,coal,40.37,424.72
1996,8,Brazil,gas,1260.53,1584.1
2015,12,France,coal,2808.45,1622.52
2001,4,Brazil,coal,4843.95,1182.07
2020,7,UK,solar,1965.27,1016.71
2006,12,USA,oil,4480.61,957.38
2022,6,France,oil,946.39,1761.24
2000,2,Japan,wind,2436.62,1558.52
2017,6,Brazil,coal,1657.61,1850.84
2021,2,USA,wind,3478.57,702.17
1990,4,Brazil,solar,4152.04,1926.11
2017,5,France,gas,22.97,1911.28
1996,9,China,coal,198.07,934.0
1991,3,Japan,gas,2857.92,1061.18
2013,12,India,hydro,2653.89,1967.53
1993,5,UK,nuclear,2885.76,1449.51
2008,2,Japan,gas,474.45,712.66
2015,3,Japan,wind,1791.56,942.01
2000,5,Japan,oil,74.49,599.36
2000,7,Brazil,gas,4701.26,1441.53
1992,6,Brazil,nuclear,1531.57,1759.55
2001,2,USA,coal,548.15,1803.69
1992,9,France,wind,3387.19,1915.03
2016,8,Brazil,hydro,704.35,3.64
1991,9,Japan,hydro,210.63,1528.45
2005,9,USA,nuclear,1486.61,1017.19
1991,5,Germany,wind,4584.43,1781.81
2019,11,UK,hydro,3384.56,712.23
2009,7,China,wind,32.03,1672.56
2017,7,USA,gas,4717.44,1228.04
2014,10,Japan,coal,4452.42,1255.75
2021,9,UK,gas,909.59,48.26
1999,9,India,nuclear,2543.39,726.55
2022,6,UK,solar,4660.42,619.01
2002,3,India,oil,3296.01,1641.94
2005,8,India,hydro,42.24,1708.6
2011,1,China,solar,781.68,1330.82
2009,10,USA,nuclear,46.27,1940.89
2016,11,Brazil,coal,3662.59,655.44
2005,4,India,oil,3509.62,1533.58
2023,10,China,coal,1774.14,1286.87
2021,2,Brazil,gas,928.37,74.23
2015,5,UK,oil,4996.25,1214.32
2014,12,France,wind,2797.06,446.79
1991,12,USA,hydro,2361.64,614.85
2001,7,USA,oil,4006.2,673.03
1998,11,Brazil,gas,2955.62,1343.07
2001,1,China,hydro,784.78,1494.86
2015,4,China,solar,1169.23,1195.47
1998,3,Germany,gas,4135.23,1588.11
1999,4,Japan,gas,2453.93,756.14
2021,6,UK,hydro,882.55,1503.22
2023,10,Germany,hydro,4779.09,233.48
2009,6,France,wind,3987.53,813.93
1991,12,Brazil,gas,4099.59,1269.38
1990,1,Brazil,gas,4498.5,392.18
2013,3,Germany,hydro,1630.34,1363.23
2016,1,USA,wind,1082.26,41.71
1991,1,Germany,gas,952.26,344.38
2020,1,UK,coal,3486.15,125.3
2003,3,China,wind,1186.48,1526.99
1991,2,USA,coal,2726.67,331.49
2018,12,France,coal,4453.31,1627.25
2004,4,Japan,coal,139.96,1260.21
2001,7,Brazil,wind,625.73,716.24
2017,11,USA,wind,2127.52,1381.2
2009,11,France,gas,4662.75,1648.56
2013,2,Germany,gas,2368.98,1186.95
2010,2,UK,oil,2498.91,1319.13
1999,12,China,oil,251.03,102.91
2003,12,UK,oil,2832.29,1655.95
2007,11,India,wind,4995.31,1048.07
2013,7,UK,solar,3258.21,136.22
2003,12,India,solar,4808.84,278.39
2023,9,USA,solar,4631.2,1261.7
2001,11,France,oil,4173.09,1429.63
2011,3,UK,wind,1078.37,1443.33
1995,10,UK,gas,2343.72,1115.22
2011,8,UK,oil,2950.39,1994.74
2003,6,France,gas,3418.07,1208.43
2005,6,Germany,coal,2802.14,1787.69
2014,3,USA,gas,2883.94,1916.38
2021,10,UK,solar,1213.52,446.99
2022,9,China,wind,916.05,1667.8
2009,9,USA,oil,1035.82,377.5
2007,4,UK,gas,1431.07,48.81
1992,10,Brazil,gas,1087.49,1450.56
2012,12,France,hydro,1731.93,11.13
2021,6,Japan,oil,3150.4,205.91
2005,5,China,solar,3593.5,1055.88
1994,4,Japan,nuclear,2383.96,671.38
1993,2,Germany,nuclear,957.39,306.28
2010,4,China,gas,3178.55,1829.69
2003,7,France,hydro,4428.51,318.38
2020,3,USA,solar,3647.63,114.02
2003,3,USA,solar,460.68,1390.19
1995,11,India,gas,764.34,1372.07
2001,3,India,oil,2838.38,489.84
2005,9,India,coal,3403.75,976.58
2006,1,Germany,wind,1395.63,969.9
2012,5,USA,gas,1024.09,102.31
2003,9,Germany,nuclear,1961.12,877.22
1996,7,USA,gas,936.12,510.75
2021,12,France,oil,2537.12,628.63
2004,12,Japan,oil,375.63,1125.62
2006,1,India,nuclear,3951.76,443.89
2023,4,India,solar,3726.91,29.61
1994,6,Brazil,nuclear,953.45,1972.82
2016,5,China,wind,3615.36,1185.13
2012,2,Brazil,hydro,1996.41,962.04
2003,1,Japan,hydro,2390.99,237.71
2004,11,Japan,coal,1885.1,1601.01
2022,4,Japan,wind,4552.98,917.26
2020,12,India,solar,3295.46,165.53
2024,10,Brazil,solar,1562.64,958.52
2006,5,India,nuclear,3846.45,1541.28
2017,4,UK,solar,1824.43,554.57
2008,3,Brazil,hydro,353.6,1778.54
2012,10,USA,solar,1699.62,1256.49
2021,8,India,nuclear,172.55,1099.84
2002,12,UK,gas,609.67,1819.17
2009,6,UK,hydro,237.7,1258.68
2024,11,UK,nuclear,1941.27,393.2
1994,12,Brazil,nuclear,4890.99,644.48
1998,3,Japan,gas,4348.99,824.38
2018,6,Japan,wind,4175.99,1076.67
1995,10,Brazil,nuclear,27.27,981.43
2014,8,Japan,hydro,1400.87,1882.6
2020,7,India,solar,1035.97,1721.78
2011,1,Germany,hydro,3997.86,54.02
1991,6,Germany,coal,199.81,1444.97
1994,1,Japan,coal,3731.18,1198.99
2016,4,Brazil,hydro,2992.31,316.76
2014,10,USA,coal,902.04,1792.31
1997,3,Brazil,coal,3233.24,705.7
1990,7,Brazil,gas,1422.21,1516.04
2009,2,Germany,oil,762.1,1471.62
2012,12,India,solar,1776.73,941.11
2021,4,France,wind,4618.78,436.08
2000,5,USA,coal,3090.16,158.95
2013,2,USA,oil,2805.67,1745.47
2000,9,Japan,solar,3654.82,119.18
2018,2,USA,wind,2100.6,124.6
2015,6,Brazil,coal,2879.42,459.32
2005,12,China,oil,1266.73,1158.88
2024,8,India,solar,2393.1,1879.73
2009,12,Japan,nuclear,3872.62,579.44
1992,7,India,oil,3628.79,1520.29
1990,6,Germany,oil,4017.64,1211.5
1990,8,Germany,nuclear,2937.52,1918.78
2006,5,India,nuclear,4221.06,1011.23
1991,10,China,coal,576.27,36.61
2018,9,France,coal,4611.86,1013.67
2009,2,UK,oil,635.88,130.7
1995,6,Brazil,wind,3275.85,1480.31
1997,12,France,hydro,3126.7,219.64
2018,10,China,oil,3628.91,108.73
2022,12,France,hydro,1430.0,1699.03
1992,12,China,nuclear,3290.77,1674.45
2024,11,Germany,oil,267.54,705.7
1994,7,China,solar,1747.95,155.73
2016,9,Germany,coal,3411.32,1818.77
2001,5,Germany,gas,2275.41,659.99
2009,6,Japan,solar,4983.89,1478.64
2009,9,France,solar,2427.14,121.35
1998,10,USA,coal,3368.84,1103.04
1993,6,France,gas,3986.85,1264.54
2008,11,Japan,hydro,4382.91,161.08
2016,12,Brazil,solar,2879.55,1221.29
2002,1,China,coal,3778.32,320.96
2002,4,France,oil,4247.45,1308.82
2011,4,China,gas,760.36,775.06
2017,3,Brazil,solar,1265.59,704.84
2011,8,China,wind,119.33,1973.17
2008,6,Brazil,nuclear,3183.08,431.09
1997,7,Brazil,oil,2895.56,730.51
1997,9,Japan,coal,4164.38,1561.43
2015,8,France,nuclear,2328.23,1492.69
2015,3,India,nuclear,2959.94,1535.14
2012,4,UK,nuclear,4143.36,1458.45
2002,1,UK,nuclear,201.65,260.44
2017,4,India,wind,541.8,641.48
1998,12,Brazil,oil,1522.65,627.14
2009,9,Japan,hydro,1167.25,1658.36
2008,5,Japan,solar,873.21,625.55
2001,3,China,nuclear,146.96,1599.46
2004,2,Germany,hydro,4919.43,150.14
2020,6,France,hydro,3359.94,849.02
2003,4,India,wind,3361.11,155.58
2000,6,Brazil,coal,3636.57,745.2
2015,3,Germany,oil,4752.62,1881.07
2016,3,India,nuclear,2372.63,1359.02
2000,1,China,gas,3330.47,1319.96
2023,9,Japan,coal,4420.46,1000.02
2008,7,Japan,wind,2296.71,421.97
1995,9,France,wind,2849.04,1604.98
2017,11,China,solar,1062.68,1112.2
1990,1,Brazil,oil,2778.8,894.19
2024,8,India,oil,3238.96,576.36
1997,2,France,hydro,590.08,463.74
1996,3,China,coal,2690.32,68.86
2000,1,USA,oil,974.58,363.4
1993,7,India,coal,3756.48,82.81
2014,12,Brazil,oil,4464.03,382.22
2001,11,France,hydro,4972.16,659.47
2015,5,China,wind,175.92,1870.81
2001,11,Germany,wind,2757.59,602.74
2013,3,UK,solar,2878.93,519.15
2005,4,UK,nuclear,4395.78,360.85
2002,12,China,nuclear,2848.51,97.77
2014,12,Germany,solar,567.77,956.49
1993,10,Germany,oil,3400.61,614.47
2000,6,UK,oil,1892.13,433.83
2021,6,Japan,coal,42.82,1807.16
1996,2,Japan,hydro,4549.73,555.58
2000,7,USA,coal,2437.88,183.75
2017,12,France,solar,3840.23,515.87
2012,2,USA,coal,3993.55,1614.84
2012,9,Brazil,gas,2714.56,981.95
2017,2,India,gas,2812.18,1174.74
2015,5,France,solar,1005.74,969.96
2014,8,India,nuclear,3112.47,579.86
2018,8,Germany,hydro,56.78,1156.89
2008,11,UK,hydro,266.73,680.62
2022,4,France,nuclear,3919.73,997.83
2003,7,Japan,hydro,1382.2,1062.39
2003,8,China,gas,1918.19,1076.85
2024,8,India,gas,4137.06,1108.67
2019,5,USA,gas,2869.79,219.02
2017,10,Germany,solar,3490.49,1603.18
2006,2,India,coal,1893.23,991.59
1992,2,Germany,oil,4946.63,343.37
2005,5,Japan,solar,2148.01,1643.24
2019,4,China,nuclear,4183.41,1516.05
2018,4,India,coal,1598.17,1656.31
2004,3,Brazil,hydro,3859.05,1841.47
2014,9,UK,solar,485.2,517.74
2012,8,China,oil,4979.79,1277.54
2014,4,Brazil,hydro,4108.03,621.14
1996,7,USA,solar,1230.73,1779.17
2011,8,Germany,nuclear,1454.39,183.46
2006,6,China,oil,1668.25,1257.85
2007,2,China,wind,1979.76,1826.58
1999,8,France,solar,1706.44,1178.69
1999,3,Brazil,gas,832.53,1348.38
1996,4,China,gas,4479.62,467.1
2016,4,Germany,oil,1608.53,1282.03
2022,7,France,gas,1832.17,1242.1
1990,8,Japan,gas,1759.05,590.62
2023,9,Japan,wind,3521.86,754.84
1993,1,UK,wind,657.69,1485.83
2006,1,France,solar,1191.19,844.77
1993,12,Germany,solar,1425.25,1484.93
2015,7,Germany,gas,3301.5,541.76
1993,4,USA,nuclear,2461.81,528.62
1990,10,France,oil,318.62,765.95
1996,8,Germany,oil,4841.19,1795.5
2019,5,Germany,coal,536.91,986.47
1998,1,UK,hydro,2576.61,1668.32
2024,2,Japan,wind,960.93,1924.11
1997,10,Germany,hydro,2877.66,537.87
2013,3,France,coal,2821.4,1232.95
2008,2,Germany,hydro,3001.0,1915.37
2016,9,Germany,gas,4831.77,1687.98
2021,7,France,solar,2849.57,970.13
2003,2,France,wind,1531.57,1178.47
2007,7,Japan,oil,187.46,1995.12
2017,12,Germany,coal,2160.8,1110.08
2018,12,Japan,wind,4145.34,17.46
2005,10,France,nuclear,1108.33,307.37
2024,1,USA,gas,4422.88,255.27
2020,5,USA,nuclear,2014.14,766.98
1993,5,Japan,gas,2469.56,893.37
2006,9,Germany,solar,2617.39,682.95
2015,4,Japan,coal,3359.68,1291.62
1993,4,Germany,oil,1808.91,1047.32
2019,6,USA,nuclear,3251.31,791.97
2019,11,USA,solar,123.16,1493.8
2011,2,Japan,wind,557.51,1999.28
2000,10,Brazil,oil,4550.73,423.52
1991,6,Germany,wind,2012.14,1604.47
2001,7,Germany,gas,255.54,1097.35
2019,4,Brazil,oil,555.18,58.18
2007,10,UK,wind,1250.85,1732.38
2015,9,USA,oil,190.19,559.42
1996,5,USA,wind,3198.2,1030.29
1990,3,Japan,solar,2468.31,1800.48
2015,9,USA,wind,4377.58,1415.68
2012,1,India,oil,3525.15,670.28
2015,8,China,oil,994.05,1999.32
1995,1,France,oil,919.03,1231.93
1995,10,Brazil,wind,3686.48,1879.23
1997,8,France,hydro,2109.55,1548.93
2013,5,Brazil,oil,2739.12,574.64
2011,7,USA,nuclear,4679.22,247.7
2008,8,India,wind,172.9,1570.12
2007,11,Japan,hydro,3874.73,467.57
2020,12,Brazil,solar,1023.12,1068.21
2019,1,Japan,nuclear,4000.14,381.54
2022,1,China,gas,2747.58,1179.78
1999,7,China,nuclear,1748.76,1864.05
2001,1,USA,hydro,2602.04,741.68
2019,4,China,gas,1733.08,693.52
2016,6,India,solar,177.91,16.02
1998,2,USA,gas,2882.23,1625.39
2010,10,Germany,oil,3089.07,627.41
2001,5,Germany,wind,1731.45,1551.09
2018,10,Japan,nuclear,155.35,1528.56
2022,10,Brazil,oil,1415.01,937.44
2004,11,Germany,oil,4576.1,847.74
1991,11,India,oil,485.19,130.87
2007,10,India,oil,798.18,325.4
1992,11,Japan,hydro,4362.7,386.8
1996,6,China,solar,1388.25,199.74
2007,5,France,nuclear,1187.6,104.37
2022,10,France,hydro,1415.45,552.2
2020,8,Japan,solar,4430.89,1581.61
2000,11,India,hydro,846.58,76.81
1993,4,Japan,wind,3474.94,783.66
2007,8,USA,gas,4341.61,926.77
1993,11,UK,oil,4932.35,593.98
2023,3,Germany,nuclear,4878.71,1932.04
2018,7,Brazil,nuclear,4460.88,982.42
2013,12,Japan,nuclear,1739.42,1407.33
2011,5,China,wind,3581.47,785.82
1991,12,China,nuclear,719.08,466.74
1995,5,Germany,wind,3444.17,1805.9
2014,6,France,oil,2816.01,1909.35
2010,12,France,wind,4862.25,1502.76
2005,5,Germany,gas,1139.21,1571.84
2020,1,USA,solar,1141.77,1788.72
2003,9,China,hydro,4432.77,708.44
2017,11,Japan,gas,2959.36,438.42
2021,4,Germany,gas,3323.81,175.47
2017,5,Japan,solar,1739.0,1729.44
1998,1,India,oil,609.01,1845.24
2011,3,China,gas,2712.6,560.22
2021,3,India,wind,2759.78,789.5
1994,8,Germany,solar,4138.25,996.94
2012,11,USA,coal,4401.02,149.8
1994,8,China,nuclear,2434.19,802.68
2021,9,Brazil,solar,1171.49,162.2
1999,10,China,coal,3439.24,223.55
2004,7,France,oil,3267.01,702.37
1996,6,Japan,nuclear,2782.31,1751.82
2018,8,Germany,gas,2469.96,1379.42
1992,3,Brazil,gas,945.97,125.75
2008,10,India,nuclear,1988.45,1255.23
1999,10,Japan,oil,3960.06,520.7
2017,10,UK,coal,2620.12,295.68
2018,8,Brazil,oil,2064.06,1446.09
2004,3,Japan,gas,2271.5,1288.83
2024,2,France,oil,4526.27,1325.7
1995,9,Germany,solar,3198.46,1226.05
2001,1,Japan,oil,1569.32,779.2
2002,10,India,gas,910.23,1097.46
2018,10,Japan,nuclear,3851.6,365.41
2008,2,India,wind,3492.14,263.27
1992,7,Japan,nuclear,2475.51,96.4
1997,1,UK,coal,2922.24,1889.52
1997,12,China,oil,1625.1,1389.71
2009,5,France,hydro,1118.02,1053.65
1993,12,USA,nuclear,622.31,1791.5
2010,9,UK,solar,1471.66,1807.71
1992,9,Brazil,solar,871.03,1188.05
1997,11,Brazil,solar,2401.39,979.6
2012,4,Germany,wind,4893.97,1701.39
2005,10,France,hydro,2299.93,1445.07
2002,2,India,oil,17.71,260.93
1992,9,Japan,oil,4579.79,271.16
1998,11,UK,wind,2007.13,1428.13
2003,4,India,nuclear,570.28,633.47
2002,3,China,wind,2217.81,597.74
1996,3,Japan,gas,3586.69,351.94
2004,7,India,gas,1663.14,1767.6
1996,12,USA,nuclear,3000.95,537.72
2023,2,France,coal,669.67,433.5
2011,5,Japan,gas,4955.82,1845.36
2013,2,France,coal,2656.8,1537.3
1990,7,Germany,wind,54.8,1908.04
1999,7,China,wind,3522.66,1732.73
2005,3,India,solar,2975.68,1648.65
1997,3,France,oil,173.76,849.48
2014,8,USA,hydro,340.54,98.38
2001,7,USA,nuclear,973.97,1419.13
2014,4,Germany,hydro,732.82,439.07
2006,2,China,oil,2892.96,600.85
2015,12,Germany,wind,2023.97,425.74
2003,3,Germany,oil,566.84,216.83
2012,11,Brazil,wind,11.67,567.13
1995,11,USA,gas,2220.65,1726.88
1994,11,France,wind,4799.89,112.66
2014,3,Brazil,gas,1382.05,1791.62
2007,5,UK,solar,952.19,1136.94
2002,7,India,coal,3473.11,1857.22
2003,4,France,coal,3805.03,1640.54
2017,1,China,coal,550.79,803.07
2007,3,UK,coal,817.86,208.11
2017,3,Germany,gas,3063.08,1059.63
2016,1,China,wind,1796.61,1687.16
2021,8,France,coal,507.49,27.18
1998,4,Brazil,coal,3005.23,97.72
2021,5,Germany,nuclear,3336.79,823.35
2009,3,France,oil,3333.98,1574.34
2017,4,Japan,gas,2227.71,1645.42
2022,1,China,gas,4555.83,851.68
1993,4,China,nuclear,2036.75,280.64
2023,2,India,nuclear,1613.32,1841.7
1992,10,USA,nuclear,1985.34,39.43
2015,6,India,oil,3695.36,501.98
1997,2,France,gas,2974.84,379.36
1995,9,Brazil,nuclear,1651.72,631.58
2005,2,France,coal,2577.47,1769.83
2013,4,India,coal,2010.81,32.19
2019,4,UK,wind,4860.51,1715.08
2002,12,India,nuclear,2613.33,716.57
1994,11,Brazil,nuclear,736.05,563.98
2014,1,China,gas,2233.96,1764.09
2009,11,Germany,gas,1219.07,153.83
2007,7,UK,solar,2100.51,1210.33
2007,1,Brazil,nuclear,989.72,878.79
1991,8,China,hydro,1755.84,5.88
1999,3,Japan,oil,4362.21,1788.23
2001,8,France,oil,1199.43,116.67
2002,8,Brazil,solar,3266.08,871.14
2000,10,Germany,wind,2331.29,1741.7
2008,12,Germany,oil,4881.46,1629.25
2024,10,UK,oil,122.43,710.41
2015,5,India,oil,2028.59,1444.84
2003,3,UK,nuclear,2693.39,1400.41
2013,11,UK,nuclear,1519.03,1866.38
1990,11,Japan,hydro,4794.26,1210.45
2011,12,UK,wind,4464.12,630.41
2012,11,Japan,coal,1383.89,1141.9
2008,9,Germany,oil,1041.37,100.26
2007,1,India,wind,203.16,2.48
2001,1,Japan,wind,833.19,100.0
2017,2,Japan,hydro,4073.16,538.94
2017,10,USA,oil,4450.54,255.79
2022,6,Germany,nuclear,1154.39,1068.31
2008,2,UK,wind,3254.35,1777.15
2017,4,Japan,nuclear,2315.19,201.97
2015,6,France,solar,230.36,235.32
2024,2,Brazil,oil,694.08,1761.63
2023,4,Germany,oil,1246.66,467.61
2024,7,China,wind,4914.8,1744.25
2005,1,India,solar,2626.51,415.64
2002,9,France,solar,3005.05,594.33
2012,10,USA,hydro,3299.55,102.37
2011,10,India,nuclear,2406.21,1293.38
2005,7,China,oil,3993.59,1822.89
2017,9,USA,wind,4070.85,993.61
2024,7,Germany,hydro,107.4,1262.8
1997,11,USA,coal,4019.9,1024.21
2011,1,UK,hydro,623.44,785.93
2010,7,France,hydro,4395.48,765.28
2015,11,China,oil,117.63,1257.05
2010,9,Brazil,coal,3643.22,904.0
2014,8,Japan,solar,4857.73,1174.38
1990,12,UK,gas,852.48,1792.92
1995,4,France,solar,4036.28,1118.94
2012,5,China,coal,1549.43,1137.38
2012,3,Germany,solar,2007.05,388.14
2012,10,France,wind,3171.88,1703.65
2021,10,Germany,gas,4121.58,857.55
2019,12,Brazil,hydro,2670.37,179.62
2002,2,UK,coal,3843.38,265.24
2007,3,China,solar,4227.55,283.12
2012,7,China,solar,4584.47,844.77
2004,8,Germany,nuclear,2800.93,1480.9
2022,2,India,gas,1825.89,354.01
2010,9,France,coal,3526.35,376.67
2012,4,UK,oil,4562.99,751.24
2016,2,UK,wind,1168.54,456.52
2007,7,China,gas,2928.68,494.34
2013,11,Brazil,solar,1568.05,1638.15
1996,2,Japan,gas,3117.85,822.79
2009,7,USA,gas,3273.91,1648.15
2016,8,Japan,oil,4600.44,228.93
1995,9,Germany,nuclear,2316.95,1513.26
2016,12,Japan,nuclear,2292.22,1683.56
1998,12,Germany,hydro,4891.92,410.4
2020,11,France,solar,3766.68,321.86
2010,1,Japan,hydro,1553.02,1133.07
2015,2,India,coal,2629.29,967.73
2002,2,USA,coal,1595.64,941.2
2012,7,USA,coal,2878.0,1002.92
2009,6,Brazil,oil,3921.15,1430.15
2017,11,USA,nuclear,1140.35,607.98
2006,9,India,oil,1394.39,1296.96
2017,3,Germany,oil,1078.22,1090.86
1991,8,Brazil,wind,750.52,1175.1
2014,5,Brazil,gas,690.52,680.5
1995,5,USA,solar,2969.69,960.58
2000,10,Germany,hydro,483.73,541.17
1995,11,Germany,hydro,3107.84,825.45
2000,12,India,solar,3646.73,61.06
2003,5,Germany,nuclear,2825.26,1645.6
1991,8,China,nuclear,745.17,121.17
1992,7,Germany,solar,3551.08,796.98
2024,11,Brazil,gas,4835.62,800.22
2022,12,France,gas,3111.02,804.87
2013,7,China,oil,2270.95,766.86
2008,4,USA,gas,1417.72,823.42
